Acceso discapacitados,Alberca,Amueblado,Antigüedad,Baños,Caseta de guardia,Chimenea,Cocina integral,Cuartos de servicio,Elevador,Escuelas Cercanas,Estado de conservación,Frente a Parque,Jacuzzi,M&sup2; de fondo,M&sup2; de frente,Mascotas,Niveles construidos,Recámaras,antigüedad,baño,baños,construido,construidos,createdDate,estacionamiento,estacionamientos,latitude,longitude,medio baño,medios baños,operationType,price,realEstateType,recámaras,stage,title,total,url,model
null,null,null,En construcción,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,600 m²,null,2024-01-17T18:07:44Z,null,6,20.714664900000000,-103.436967100000000,1,null,venta,36728667,Casa,5,finished,null,807 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-club-de-golf-las-lomas-diseno-moderno-142363219.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,20,null,4,436 m²,null,2023-05-03T17:59:09Z,null,4,20.591197600000000,-103.461059500000000,null,2,venta,15950000,Casa,4,finished,null,1076 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-el-palomar-tlajomulco-66820299.html,0
null,null,null,null,null,null,null,null,null,null,null,Bueno,null,null,null,null,null,2,null,6,1,null,96 m²,null,2024-02-14T17:29:14Z,null,2,20.529043924300001,-103.456503152799996,1,null,venta,1800000,Casa,3,finished,null,107 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-alta-california-142704449.html,0
null,null,null,null,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,2,null,5,null,5,650 m²,null,2023-05-04T20:11:53Z,null,6,20.734938899999999,-103.468696699999995,1,null,venta,24000000,Casa,5,finished,null,447 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-mitica-residencial-zapopan.-66832459.html,0
null,null,null,null,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,2,null,15,null,4,400 m²,null,2024-04-02T15:03:39Z,null,6,20.683606200000000,-103.403569700000000,1,null,venta,19900000,Casa,3,finished,null,556 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-monraz-guadalajara-143154624.html,0
null,null,null,A estrenar,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,126 m²,null,2023-04-18T19:18:37Z,null,2,20.515571800000000,-103.493089300000000,1,null,venta,2690000,Casa,3,finished,null,120 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-senderos-de-monteverde-66707710.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,null,2,477 m²,null,2024-02-13T20:43:14Z,null,2,20.685525600000000,-103.346268700000000,null,null,venta,5900000,Casa,10,finished,null,159 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-edificio-en-venta-en-el-centro-de-guadalajara-142696964.html,0
null,null,null,A estrenar,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,null,6,610 m²,null,2024-04-13T00:08:23Z,null,6,20.700256100000000,-103.418668000000000,1,null,venta,32500000,Casa,6,finished,null,350 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-puerta-del-bosque-zona-andares-143260924.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5,900 m²,null,2021-06-12T05:00:13Z,null,6,20.711507600000000,-103.416747599999993,null,3,venta,49750000,Casa,4,finished,null,900 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-amueblada-puerta-de-hierro-61466667.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20.694415500000000,-103.325772100000000,null,null,null,null,null,null,finished,null,null,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-venta-indepencia-oriente-guadalajara-jalisco.-90487139.html,0
null,null,null,null,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,3,null,8,null,5,920 m²,null,2024-01-25T18:30:06Z,null,5,20.701649799999998,-103.398478800000006,null,4,venta,69000000,Casa,4,finished,null,846 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-colinas-de-san-javier.-142454007.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,4,498 m²,null,2024-03-06T16:12:14Z,null,6,20.589759600000000,-103.476312900000000,null,3,venta,24990000,Casa,4,finished,null,635 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-el-cielo-142923810.html,0
null,null,null,null,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,2,null,1,null,3,200 m²,null,2023-11-17T18:36:38Z,null,2,20.512285695235338,-103.487805561376970,null,null,venta,5450000,Casa,3,finished,null,325 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-senderos-de-monteverde-161-141917463.html,0
null,null,null,A estrenar,null,null,null,null,null,null,null,Excelente,null,null,null,null,null,null,null,null,null,4,300 m²,null,2024-02-21T22:49:11Z,null,3,20.566408600000000,-103.460039300000000,null,null,venta,10300000,Casa,null,finished,null,250 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-el-manantial-tlajomulco-142787166.html,0
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,4,600 m²,null,2024-04-19T23:26:06Z,null,4,20.697537700000000,-103.446388500000000,null,2,venta,29900000,Casa,4,finished,null,230 m²,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-virreyes-residencial-zapopan-jalisco-143319201.html,0
